TransNo,TransDt,V_TYPE,V_NO,TransType,AccNo,V_DT,V_ENTDT,Amount,Acc_No,Narrionation,V_NAR1,V_NAR2,V_ENO,MEMBERNO,V_CHKNO,BNK_NAM,RECO_DT,LCODE,LDATE,LTIME,INWARD,PURPOSE,LOANCD,SUBOFF,CHQDRF,PCODE,PIN,SLNO,INST_DT,SLIP_DT,MTH,YR,ST_DATE,AppYesNo,AppDate,AppBy,TokenNo,Trans_Branch,Mon_No,Year_No,Dept,mysrno,PinNo,SerialNo,Print_YN,Print_Dt,Prev_Chq_No,ChequeOnName,FDRegSrNo,User_Dept,SendToNeft_Branch,SendToNeft_User_Branch,SendToNeft_User_DATE_Branch,SendToNeft_Bank,SendToNeft_User_Bank,SendToNeft_User_DATE_Bank
CE2301-000213,2022-05-11,8,800022,,800022,2022-05-11,,120,,CASH DEPOSITED IN BOI RS. 120/-  DT.10/05/2022,,,0,,,,,9000070,2022-05-11,,,,,,,,,,,,,,,1,2022-05-11,9000078,,5,,,,34348,,,,,,,,11,,,,,,
CE2301-000214,2022-05-11,8,800099,,800099,2022-05-11,,740,,CASH DEPOSITED IN BANK DT. 10/05/2022 RS. 740/-,,,0,,,,,9000091,2022-05-11,,,,,,,,,,,,,,,1,2022-05-11,9000022,,8,,,,34373,,,,,,,,11,,,,,,
CE2301-000215,2022-05-11,8,800100,,800100,2022-05-11,,12074,,BEING CASH DEPOSITED IN MDC CO - OP BANK LTD RS.12;074 DT 10/05/2022.,,,0,,,,,9000142,2022-05-11,,,,,,,,,,,,,,,1,2022-05-11,9000067,,8,,,,34384,,,,,,,,5,,,,,,
CE2301-000216,2022-05-11,8,800025,,800025,2022-05-11,,20240,,CASH DEPOSITED AT BANK OF INDIA AMT.20240/- DT.10/05/2022,,,0,,,,,9000075,2022-05-11,,,,,,,,,,,,,,,1,2022-05-11,9000037,,1,,,,34396,,,,,,,,11,,,,,,
CE2301-000217,2022-05-11,8,800013,,800013,2022-05-11,,1700,,CASH DEPOSITED IN BOI ( RS - 610/- DT - 05/05/2022 ; RS 600/- DT - 06/05/2022 ; RS - 130 DT - 09/05/2022 ; RS 360 DT - 10/05/2022 ),,,0,,,,,9000148,2022-05-11,,,,,,,,,,,,,,,1,2022-05-11,9000025,,6,,,,34399,,,,,,,,11,,,,,,
CE2301-000218,2022-05-11,8,800022,,800022,2022-05-11,,120,,CASH DEPOSITED IN BANK DATED 10.05.2022 AMT-120/-,,,0,,,,,9000073,2022-05-11,,,,,,,,,,,,,,,1,2022-05-11,9000027,,3,,,,34401,,,,,,,,11,,,,,,
CE2301-000219,2022-05-12,8,800101,,800101,2022-05-12,,1809,,BEING THE AMOUNT WITHDRAWN AS PETTY CASH FOR THE MONTH OF MAY - 2022 (DADAR HO ),,,0,,786310,,,9000057,2022-05-12,,,,,,,,,,,,,,,1,2022-05-12,9000019,,8,,,,34537,,,,,,,,2,,,,,,
CE2301-000220,2022-05-12,8,800102,,800102,2022-05-12,,7080,,CASH DEPOSITED IN BOI DT.12.05.2022 RS. 7080/-,,,0,,,,,9000146,2022-05-12,,,,,,,,,,,,,,,1,2022-05-12,9000046,,8,,,,34540,,,,,,,,8,,,,,,
CE2301-000221,2022-05-12,8,800103,,800103,2022-05-12,,250,,CASH DEPOSITED IN BANK DT. 11/05/2022 RS. 250/-,,,0,,,,,9000091,2022-05-12,,,,,,,,,,,,,,,1,2022-05-12,9000062,,8,,,,34544,,,,,,,,11,,,,,,
CE2301-000222,2022-05-12,8,800104,,800104,2022-05-12,,2490,,BEING THE AMOUNT OF POSTAGE & COURIER RS. 2490/- (CASH WITHDRAWN FOR 101 - REGISTAR AWORD COPICS CONT BY POST REGD A D LIST ATTACHED.,,,0,,786311,,,9000057,2022-05-12,,,,,,,,,,,,,,,1,2022-05-12,9000019,,8,,,,34545,,,,,,,,2,,,,,,
CE2301-000223,2022-05-12,8,800023,,800023,2022-05-12,,600,,CASH DEPOSITED IN THE BANK DT- 11/05/2022 AMT=600/-,,,0,,,,,9000087,2022-05-12,,,,,,,,,,,,,,,1,2022-05-12,9000027,,3,,,,34557,,,,,,,,11,,,,,,
CE2301-000224,2022-05-12,8,800026,,800026,2022-05-12,,500,,CASH DEPOSITED AT BANK OF INDIA ELECTRIC HOUSE AMT.500/- DT.11/05/2022,,,0,,,,,9000060,2022-05-12,,,,,,,,,,,,,,,1,2022-05-12,9000037,,1,,,,34567,,,,,,,,11,,,,,,
CE2301-000225,2022-05-12,8,800021,,800021,2022-05-12,,120,,CASH DEPOSITED INTO BANK DATED 11/05/2022,,,0,,,,,9000045,2022-05-12,,,,,,,,,,,,,,,1,2022-05-12,9000028,,4,,,,34573,,,,,,,,11,,,,,,
CE2301-000226,2022-05-12,8,800105,,800105,2022-05-12,,3098,,BEING RECEIPT  NO 500078 DT. 26/04/2022 FEEDED WRONG BANK OF INDIA CURRENT A/C (  DADAR BRANCH ) WRONGLY DEBITED INSTEAD OF MDC BANK CURRENT A/C SO ENTRY NOW RECTIFIED,,,0,,662439,,,9000057,2022-05-12,,,,,,,,,,,,,,,1,2022-05-12,9000019,,8,,,,34579,,,,,,,,2,,,,,,
CE2301-000227,2022-05-13,8,800106,,800106,2022-05-13,,20000000,,BEING THE AMT TRANSFER FROM MDC BANK SB AC 60 TO MDC BANK CC AC 86 ON 06/5/2022-RS.7500000; 09/5/22-RS.2500000 AND 12/5/22-RS.10000000.,,,0,,,,,9000076,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,sa,,8,,,,34612,,,,,,,,4,,,,,,
CE2301-000228,2022-05-13,8,800107,,800107,2022-05-13,,10000000,,BEING THE AMT TRANSFER FROM MDC BANK CURRENT  AC 87 TO MDC BANK CC AC 86 ON 10/5/22.,,,0,,,,,9000076,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,sa,,8,,,,34613,,,,,,,,4,,,,,,
CE2301-000229,2022-05-13,8,800108,,800108,2022-05-13,,50000000,,BEING THE AMT TRANSFER FROM MDC BANK CURRENT AC 87 TO MDC BANK SB AC 60 ON 10/5/2022.,,,0,,,,,9000076,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,sa,,8,,,,34614,,,,,,,,4,,,,,,
CE2301-000230,2022-05-13,8,800109,,800109,2022-05-13,,5000000,,BEING THE AMT TRANSFER FROM MDC BANK SB AC 60 TO MDC BANK CURRENT AC 87 ON 12/5/2022.,,,0,,,,,9000076,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,sa,,8,,,,34617,,,,,,,,4,,,,,,
CE2301-000231,2022-05-13,8,800110,,800110,2022-05-13,,141180,,BEING THE AMT OF BOI CURRENT AC DEONAR BR TRANSFERED TO BOI SB AC 1762 ON 05/5/2022-RS.480;6/5/22-RS.84000;8/5/22-RS.55000;11/5/22-RS.1700.,,,0,,,,,9000076,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,sa,,8,,,,34623,,,,,,,,4,,,,,,
CE2301-000232,2022-05-13,8,800111,,800111,2022-05-13,,930690,,BEING THE AMT OF BOI CURRENT AC MAJAS BR TRANSFERED TO BOI SB AC 1762 ON 06/5/22-RS.116330;09/5/22-RS.240;10/5/22-RS.20000;11/5/22-RS.250000;12/5/22-RS.544120.,,,0,,,,,9000076,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,sa,,8,,,,34624,,,,,,,,4,,,,,,
CE2301-000233,2022-05-13,8,800112,,800112,2022-05-13,,4380000,,BEING THE AMT OF BOI CURRENT AC MULUND BR TRANSFERED TO BOI SB AC 1762 ON 8/5/22-RS.1880000;10/5/22-RS.200000 AND 12/5/22-RS.2300000.,,,0,,,,,9000076,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,sa,,8,,,,34626,,,,,,,,4,,,,,,
CE2301-000234,2022-05-13,8,800113,,800113,2022-05-13,,1387150,,BEING THE AMT OF BOI CURRENT AC GOREGAON BR TRANSFERED TO BOI SB AC 1762 ON 08/5/2022.,,,0,,,,,9000076,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,sa,,8,,,,34627,,,,,,,,4,,,,,,
CE2301-000235,2022-05-13,8,800114,,800114,2022-05-13,,1018000,,BEING THE AMT OF BOI CURRENT AC ANIK  BR TRANSFERED TO BOI SB AC 1762 ON 09/5/2022.,,,0,,,,,9000076,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,sa,,8,,,,34628,,,,,,,,4,,,,,,
CE2301-000236,2022-05-13,8,800115,,800115,2022-05-13,,2500000,,BEING THE AMT OF BOI CURRENT AC DADAR BR TRANSFERED TO BOI SB AC 1762 ON 12/5/2022.,,,0,,,,,9000076,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,sa,,8,,,,34630,,,,,,,,4,,,,,,
CE2301-000237,2022-05-13,8,800116,,800116,2022-05-13,,12000,,CASH DEPOSITED IN MDC CO - OP BANK LTD RS.12;000/- DT 13/05/2022.,,,0,,,,,9000142,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,9000038,,8,,,,34650,,,,,,,,5,,,,,,
CE2301-000238,2022-05-13,8,800023,,800023,2022-05-13,,260,,CASH DEPOSITED IN BOI DT.12/05/2022 RS.260/-,,,0,,,,,9000070,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,9000031,,5,,,,34658,,,,,,,,11,,,,,,
CE2301-000239,2022-05-13,8,800022,,800022,2022-05-13,,240,,BEING THE CASH DEPOSITED IN BANK OF INDIA   AMT- 240/- DT-13/05/2022,,,0,,,,,9000045,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,9000028,,4,,,,34680,,,,,,,,11,,,,,,
CE2301-000240,2022-05-13,8,800117,,800117,2022-05-13,,1295,,BEING THE AMOUNT WITHDRAN AS PETTY CASH FOR THE MONTH OF  MARCH & ARRIL - 2022,,,0,,786312,,,9000057,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,9000010,,8,,,,34683,,,,,,,,2,,,,,,
CE2301-000241,2022-05-13,8,800024,,800024,2022-05-13,,720,,CASH DEPOSITED IN THE BANK DT-12/05/2022 DT AMT-720/-,,,0,,,,,9000087,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,9000027,,3,,,,34694,,,,,,,,11,,,,,,
CE2301-000242,2022-05-13,8,800027,,800027,2022-05-13,,250,,CASH DEPOSITED AT BANK OF INDIA ELECTRIC HOUSE AMT.250/-DT.12/05/2022,,,0,,,,,9000060,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,9000053,,1,,,,34705,,,,,,,,11,,,,,,
CE2301-000243,2022-05-13,8,800017,,800017,2022-05-13,,1600,,CASH TR TO BOI SION BRANCH  DT 9/05/22 (RS750) DT10/05/22 (RS370) DT 11/05/22 (RS240) DT12/05/22 (RS240),,,0,,,,,9000064,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,9000034,,2,,,,34714,,,,,,,,11,,,,,,
CE2301-000244,2022-05-13,8,800118,,800118,2022-05-13,,10990,,CAH  DEPOSITED IN BANK DT. 12/05/2022 RS.10990/-,,,0,,,,,9000091,2022-05-13,,,,,,,,,,,,,,,1,2022-05-13,9000082,,8,,,,34715,,,,,,,,11,,,,,,
CE2301-000245,2022-05-17,8,800025,,800025,2022-05-17,,20480,,CASH DEPOSITED IN THE BANK DT-13/05/2022 AMT-20480/-,,,0,,,,,9000087,2022-05-17,,,,,,,,,,,,,,,1,2022-05-17,9000027,,3,,,,34783,,,,,,,,11,,,,,,
CE2301-000246,2022-05-17,8,800119,,800119,2022-05-17,,4690,,CASH DEPOSITED IN BANK DT. 13/05/2022 RS. 4690/-,,,0,,,,,9000091,2022-05-17,,,,,,,,,,,,,,,1,2022-05-17,9000022,,8,,,,34818,,,,,,,,11,,,,,,
CE2301-000247,2022-05-17,8,800024,,800024,2022-05-17,,4600,,CASH DEPOSITED IN BOI RS.4600 /- DT. 13/05/2022,,,0,,,,,9000070,2022-05-17,,,,,,,,,,,,,,,1,2022-05-17,9000031,,5,,,,34823,,,,,,,,11,,,,,,
CE2301-000248,2022-05-17,8,800023,,800023,2022-05-17,,20120,,BEING THE CASH DEPOSITED IN BANK OF INDIA     AMT- 20120/-    DT-13/05/2022,,,0,,,,,9000143,2022-05-17,,,,,,,,,,,,,,,1,2022-05-17,9000028,,4,,,,34848,,,,,,,,11,,,,,,
CE2301-000249,2022-05-17,8,800014,,800014,2022-05-17,,1740,,CASH DEPOISTED IN BANK OF INDIA DT 12-05-2022-500;13-05-2022-1240;TOTAL-1740/,,,0,,,,,9000079,2022-05-17,,,,,,,,,,,,,,,1,2022-05-17,9000025,,6,,,,34856,,,,,,,,11,,,,,,
CE2301-000250,2022-05-17,8,800018,,800018,2022-05-17,,24490,,CASH  TR TO SION BRANCH  DT 13/05/2022 (RS24490),,,0,,,,,9000064,2022-05-17,,,,,,,,,,,,,,,1,2022-05-17,9000034,,2,,,,34857,,,,,,,,11,,,,,,
CE2301-000251,2022-05-17,8,800120,,800120,2022-05-17,,200,,BEING THE AMOUNT OF CASH DEPOSITED IN BOI,,,0,,,,,9000147,2022-05-17,,,,,,,,,,,,,,,1,2022-05-17,9000026,,8,,,,34878,,,,,,,,3,,,,,,
CE2301-000252,2022-05-17,8,800028,,800028,2022-05-17,,18974,,CASH TRANSFERD TO BANK OF INDIA ELECTRIC HOUSE COLABA BRANCH ; AMOUNT RS. 18974/- ; DT. 13/05/2022,,,0,,,,,9000053,2022-05-17,,,,,,,,,,,,,,,1,2022-05-17,9000060,,1,,,,34880,,,,,,,,11,,,,,,
CE2301-000253,2022-05-17,8,800121,,800121,2022-05-17,,2000,,CASH DEPOSITED IN MDC CO - OP BANK LTD RS.2;000/- DT 13/05/2022.,,,0,,,,,9000142,2022-05-17,,,,,,,,,,,,,,,1,2022-05-17,9000038,,8,,,,34887,,,,,,,,5,,,,,,
CE2301-000254,2022-05-18,8,800122,,800122,2022-05-18,,20000,,BEING THE AMOUNT WITHDRAWN IN ADVANCE FOR BORIVALI (EAST) BRANCH INAUGURATION PROGRAM TO BE HELD ON 19/05/2022,,,0,,786313,,,9000057,2022-05-18,,,,,,,,,,,,,,,1,2022-05-18,9000010,,8,,,,35017,,,,,,,,2,,,,,,
CE2301-000255,2022-05-18,8,800025,,800025,2022-05-18,,240,,CASH DEPOSITED IN BOI DT.17/05/2022 RS.240/-,,,0,,,,,9000070,2022-05-18,,,,,,,,,,,,,,,1,2022-05-18,9000031,,5,,,,35022,,,,,,,,11,,,,,,
CE2301-000256,2022-05-18,8,800029,,800029,2022-05-18,,720,,CASH TRANSFERD TO BANK OF INDIA ELECTRIC HOUSE COLABA ; AMT. RS. 720/-; DT. 17/05/2022,,,0,,,,,9000053,2022-05-18,,,,,,,,,,,,,,,1,2022-05-18,9000060,,1,,,,35027,,,,,,,,11,,,,,,
CE2301-000257,2022-05-18,8,800024,,800024,2022-05-18,,23180,,BEING THE CASH DEPOSITED IN BANK OF INDIA    AMT- 23180/-   DT- 17/05/2022,,,0,,,,,9000143,2022-05-18,,,,,,,,,,,,,,,1,2022-05-18,9000028,,4,,,,35029,,,,,,,,11,,,,,,
CE2301-000258,2022-05-18,8,800019,,800019,2022-05-18,,610,,CASH TR  TO  BOI SION BRANCH  DT  17/05/2022,,,0,,,,,9000064,2022-05-18,,,,,,,,,,,,,,,1,2022-05-18,9000034,,2,,,,35031,,,,,,,,11,,,,,,
CE2301-000259,2022-05-18,8,800026,,800026,2022-05-18,,480,,CASH DEPOSITED IN THE BANK DT-17/05/2022 AMT-480/-,,,0,,,,,9000087,2022-05-18,,,,,,,,,,,,,,,1,2022-05-18,9000027,,3,,,,35038,,,,,,,,11,,,,,,
CE2301-000260,2022-05-18,8,800123,,800123,2022-05-18,,956,,CASH DEPOSITED IN BANK DT. 17/05/2022 RS. 956/-,,,0,,,,,9000091,2022-05-18,,,,,,,,,,,,,,,1,2022-05-19,9000082,,8,,,,35051,,,,,,,,11,,,,,,
CE2301-000261,2022-05-18,8,800015,,800015,2022-05-18,,120,,CASH DEPOSITED IN BANK OF INDIA DT 17-5-22;AMT-120/,,,0,,,,,9000079,2022-05-18,,,,,,,,,,,,,,,1,2022-05-18,9000025,,6,,,,35052,,,,,,,,11,,,,,,
CE2301-000262,2022-05-19,8,800026,,800026,2022-05-19,,490,,CASH DEPOSITED IN BOI RS.490/-  DT.18/05/2022,,,0,,,,,9000070,2022-05-19,,,,,,,,,,,,,,,1,2022-05-19,9000070,,5,,,,45202,,,,,,,,11,,,,,,
CE2301-000263,2022-05-19,8,800025,,800025,2022-05-19,,12360,,BEING THE CASH DEPOSITED IN BANK OF INDIA   AMT- 12360/-   DT- 18/05/2022,,,0,,,,,9000143,2022-05-19,,,,,,,,,,,,,,,1,2022-05-19,9000028,,4,,,,45224,,,,,,,,11,,,,,,
CE2301-000264,2022-05-19,8,800124,,800124,2022-05-19,,17060,,CASH DEPOSITED IN BOI DTD 18/5/2022 AMT -17060/-),,,0,,,,,9000082,2022-05-19,,,,,,,,,,,,,,,1,2022-05-19,9000062,,8,,,,45238,,,,,,,,11,,,,,,
CE2301-000265,2022-05-19,8,800030,,800030,2022-05-19,,130,,CASH TRANSFERD TO BANK OF INDIA ; ELECTRIC HOUSE COLABA BRANCH ; AMT. RS. 130/-; DT. 18/05/2022,,,0,,,,,9000053,2022-05-19,,,,,,,,,,,,,,,1,2022-05-20,9000060,,1,,,,45240,,,,,,,,11,,,,,,
CE2301-000266,2022-05-20,8,800125,,800125,2022-05-20,,7080,,CASH DEPOSITED IN BOI DT.19.05.2022 RS.7080/-,,,0,,,,,9000146,2022-05-20,,,,,,,,,,,,,,,1,2022-05-20,9000049,,8,,,,45242,,,,,,,,8,,,,,,
CE2301-000267,2022-05-20,8,800027,,800027,2022-05-20,,21200,,CASH DEPOSITED IN THE BANK DT-18/05/2022 AMT-20720/- DT-19/05/2022 AMT-480/- TOTAL AMT=21200/-,,,0,,,,,9000087,2022-05-20,,,,,,,,,,,,,,,1,2022-05-20,9000027,,3,,,,45268,,,,,,,,11,,,,,,
CE2301-000268,2022-05-20,8,800031,,800031,2022-05-20,,720,,CASH TRANSFERD TO BANK OF INDIA ELECTRIC HOUSE COLABA BRANCH ; AMT. RS. 720/-; DT. 19/05/2022,,,0,,,,,9000075,2022-05-20,,,,,,,,,,,,,,,1,2022-05-20,9000060,,1,,,,45338,,,,,,,,11,,,,,,
CE2301-000269,2022-05-20,8,800126,,800126,2022-05-20,,100,,BEING THE AMOUNT OF CASH DEPOSITED IN BOI,,,0,,,,,9000147,2022-05-20,,,,,,,,,,,,,,,1,2022-05-20,9000026,,8,,,,45367,,,,,,,,3,,,,,,
CE2301-000271,2022-05-20,8,800026,,800026,2022-05-20,,7200,,BEING THE CASH DEPOSITED IN BANK OF INDIA    AMT- 7200/-  DT-19/05/2022,,,0,,,,,9000143,2022-05-20,,,,,,,,,,,,,,,1,2022-05-20,9000035,,4,,,,45414,,,,,,,,11,,,,,,
CE2301-000272,2022-05-20,8,800017,,800017,2022-05-20,,5436,,CASH DEPOSITED IN BOI ( RS 4260/- DATED 18/05/2022 ; RS - 1176/- DATED - 19/05/2022 ),,,0,,,,,9000148,2022-05-20,,,,,,,,,,,,,,,1,2022-05-20,9000025,,6,,,,45415,,,,,,,,11,,,,,,
CE2301-000273,2022-05-20,8,800127,,800127,2022-05-20,,25004,,BEING THE AMOUNT WITHDRAWN AS PETTY CASH FOR COLABA HO,,,0,,786314,,,9000057,2022-05-20,,,,,,,,,,,,,,,1,2022-05-20,9000010,,8,,,,45419,,,,,,,,2,,,,,,
CE2301-000274,2022-05-20,8,800128,,800128,2022-05-20,,24740,,CASH DEPOSITED IN BANK DT. 19/05/2022 RS. 24740/-,,,0,,,,,9000091,2022-05-20,,,,,,,,,,,,,,,1,2022-05-20,9000022,,8,,,,45420,,,,,,,,11,,,,,,
CE2301-000275,2022-05-20,8,800027,,800027,2022-05-20,,240,,CASH DEPOSITED IN BOI RS. 240/-  DT.19/05/2022,,,0,,,,,9000070,2022-05-20,,,,,,,,,,,,,,,1,2022-05-20,9000031,,5,,,,45421,,,,,,,,11,,,,,,
CE2301-000276,2022-05-20,8,800032,,800032,2022-05-20,,5000,,BEING CASH DEPOSITE IN THE BANK DT. 19/05/2022,,,0,,,,,9000086,2022-05-20,,,,,,,,,,,,,,,1,2022-05-20,9000021,,1,,,,45425,,,,,,,,1,,,,,,
CE2301-000277,2022-05-23,8,800028,,800028,2022-05-23,,120,,CASH DEPOSITED IN THE BANK DT-20/05/2022 AMT=120/-,,,0,,,,,9000087,2022-05-23,,,,,,,,,,,,,,,1,2022-05-23,9000027,,3,,,,45451,,,,,,,,11,,,,,,
CE2301-000278,2022-05-23,8,800129,,800129,2022-05-23,,500,,CASH DEPOSITED IN BANK DT. 20/05/2022 RS. 500/-,,,0,,,,,9000091,2022-05-23,,,,,,,,,,,,,,,1,2022-05-23,9000022,,8,,,,45499,,,,,,,,11,,,,,,
CE2301-000279,2022-05-23,8,800130,,800130,2022-05-23,,7080,,CASH DEPOSITED IN BOI DT. 23.05.2022 RS. 7080/-,,,0,,,,,9000146,2022-05-23,,,,,,,,,,,,,,,1,2022-05-24,9000049,,8,,,,45518,,,,,,,,8,,,,,,
CE2301-000280,2022-05-23,8,800028,,800028,2022-05-23,,730,,CASH DEPOSITED IN BOI RS.730 /-  DT.20/05/2022,,,0,,,,,9000070,2022-05-23,,,,,,,,,,,,,,,1,2022-05-23,9000078,,5,,,,45523,,,,,,,,11,,,,,,
CE2301-000281,2022-05-23,8,800027,,800027,2022-05-23,,620,,BEING THE CASH DEPOSITED IN BANK OF INDIA      AMT- 620/-   DT- 20/05/2022,,,0,,,,,9000143,2022-05-23,,,,,,,,,,,,,,,1,2022-05-23,9000028,,4,,,,45527,,,,,,,,11,,,,,,
CE2301-000282,2022-05-23,8,800020,,800020,2022-05-23,,25956,,CASH TR TO BOI SION BRANCH DT 18/05//2022 (RS360) DT 19/05/2022 (RS 720) DT20/05/2022 (RS24876),,,0,,,,,9000080,2022-05-23,,,,,,,,,,,,,,,1,2022-05-23,9000080,,2,,,,45529,,,,,,,,11,,,,,,
CE2301-000283,2022-05-23,8,800018,,800018,2022-05-23,,250,,CASH DEPOSITED IN BOI RS 250/- DT 20/05/2022,,,0,,,,,9000148,2022-05-23,,,,,,,,,,,,,,,1,2022-05-23,9000025,,6,,,,45530,,,,,,,,11,,,,,,
CE2301-000284,2022-05-23,8,800033,,800033,2022-05-23,,26370,,CASH TRANSFERD TO BANK OF INDIA ELECTRIC HOUSE COLABA BRANCH ; AMT. RS. 26730/- ; DT. 20/05/2022,,,0,,,,,9000053,2022-05-23,,,,,,,,,,,,,,,1,2022-05-23,9000060,,1,,,,45539,,,,,,,,11,,,,,,
CE2301-000285,2022-05-24,8,800029,,800029,2022-05-24,,360,,CASH DEPOSITED IN THE BANK DT-23/05/2022 AMT=360/-,,,0,,,,,9000087,2022-05-24,,,,,,,,,,,,,,,1,2022-05-24,9000027,,3,,,,45611,,,,,,,,11,,,,,,
CE2301-000286,2022-05-24,8,800131,,800131,2022-05-24,,10620,,CASH DEPOSITED IN BOI DT. 24.05.2022 RS. 10620/-,,,0,,,,,9000146,2022-05-24,,,,,,,,,,,,,,,1,2022-05-24,9000049,,8,,,,45612,,,,,,,,8,,,,,,
CE2301-000287,2022-05-24,8,800132,,800132,2022-05-24,,40000,,CASH DEPOSITED IN MDC CO-OP BANK LTD RS.20;000/- DT 23/05/2022 & RS.20;000/- DT 24/05/2022.,,,0,,,,,9000142,2022-05-24,,,,,,,,,,,,,,,1,2022-05-24,9000047,,8,,,,45635,,,,,,,,5,,,,,,
CE2301-000288,2022-05-24,8,800029,,800029,2022-05-24,,850,,CASH DEPOSITED IN BOI RS. 850 /-  DT. 23/05/2022,,,0,,,,,9000070,2022-05-24,,,,,,,,,,,,,,,1,2022-05-24,9000031,,5,,,,45636,,,,,,,,11,,,,,,
CE2301-000289,2022-05-24,8,800019,,800019,2022-05-24,,120,,CASH DEPOSITED IN BANK OF INDIA DT 17-5-2022;CASH-120/,,,0,,,,,9000079,2022-05-24,,,,,,,,,,,,,,,1,2022-05-24,9000025,,6,,,,45637,,,,,,,,11,,,,,,
CE2301-000290,2022-05-24,8,800133,,800133,2022-05-24,,20640,,CASH DEPOSITED IN BANK DT. 23/05/2022 RS. 20640/-,,,0,,,,,9000091,2022-05-24,,,,,,,,,,,,,,,1,2022-05-24,9000022,,8,,,,45645,,,,,,,,11,,,,,,
CE2301-000291,2022-05-24,8,800034,,800034,2022-05-24,,3370,,CASH DEPOSITEDAT BANK OF INDIA 3370 /- DT 23/05/2022,,,0,,,,,9000075,2022-05-24,,,,,,,,,,,,,,,1,2022-05-24,9000060,,1,,,,45648,,,,,,,,11,,,,,,
CE2301-000292,2022-05-24,8,800028,,800028,2022-05-24,,390,,BEING THE CASH DEPOSITED IN BANK OF INDIA     AMT- 390/-   DT- 23/05/2022,,,0,,,,,9000143,2022-05-24,,,,,,,,,,,,,,,1,2022-05-24,9000028,,4,,,,45654,,,,,,,,11,,,,,,
CE2301-000293,2022-05-25,8,800134,,800134,2022-05-25,,20000,,CASH DEPOSITED IN MDC CO - OP BANK LTD RS.20;000/- DTD 25/05/2022.,,,0,,,,,9000142,2022-05-25,,,,,,,,,,,,,,,1,2022-05-25,9000047,,8,,,,45750,,,,,,,,5,,,,,,
CE2301-000294,2022-05-25,8,800029,,800029,2022-05-25,,32460,,BEING THE CASH DEPOSITED IN BANK OF INDIA     AMT- 32460/-    DT- 24/05/2022,,,0,,,,,9000143,2022-05-25,,,,,,,,,,,,,,,1,2022-05-25,9000028,,4,,,,45753,,,,,,,,11,,,,,,
CE2301-000295,2022-05-25,8,800021,,800021,2022-05-25,,850,,CASH  TR TO BOI SION  BRANCH DT 23/05/2022(RS730) DT 24/05/2022 (120),,,0,,,,,9000064,2022-05-25,,,,,,,,,,,,,,,1,2022-05-25,9000080,,2,,,,45761,,,,,,,,11,,,,,,
CE2301-000296,2022-05-25,8,800020,,800020,2022-05-25,,120,,CASH DEPOSITED IN BANK OF INDIA DT 24-5-22 CASH-120/,,,0,,,,,9000079,2022-05-25,,,,,,,,,,,,,,,1,2022-05-25,9000025,,6,,,,45762,,,,,,,,11,,,,,,
CE2301-000297,2022-05-25,8,800035,,800035,2022-05-25,,3390,,CASH DEPOSITED AT BANK OF INDIA 3390/- DT 24/05/2022,,,0,,,,,9000075,2022-05-25,,,,,,,,,,,,,,,1,2022-05-25,9000060,,1,,,,45775,,,,,,,,11,,,,,,
CE2301-000298,2022-05-25,8,800030,,800030,2022-05-25,,120,,CASH TRANSFER TO BANK OF INDIA DT-24/05/2022 AMT-120/-,,,0,,,,,9000078,2022-05-25,,,,,,,,,,,,,,,1,2022-05-25,9000031,,5,,,,45777,,,,,,,,11,,,,,,
CE2301-000299,2022-05-25,8,800030,,800030,2022-05-25,,130,,CASH DEPOSITED IN THE BANK FOR THE DATED - 24/05/2022;,,,0,,,,,9000068,2022-05-25,,,,,,,,,,,,,,,1,2022-05-25,9000027,,3,,,,45778,,,,,,,,11,,,,,,
CE2301-000300,2022-05-25,8,800135,,800135,2022-05-25,,44620,,CASH DEPOSITED IN BANK DT. 24/05/2022   RS. 44620/-,,,0,,,,,9000091,2022-05-25,,,,,,,,,,,,,,,1,2022-05-25,9000022,,8,,,,45780,,,,,,,,11,,,,,,
CE2301-000301,2022-05-26,8,800031,,800031,2022-05-26,,23890,,CASH DEPOSITED IN THE BANK FOR THE DATED - 25/05/2022,,,0,,,,,9000068,2022-05-26,,,,,,,,,,,,,,,1,2022-05-26,9000027,,3,,,,45812,,,,,,,,11,,,,,,
